isolate,country,arcC,aroE,glpF,gmk,pta,tpi,yqiL,ST (MLST),clonal_complex (MLST)
Saitama9,Japan,3,124,1,1,1,410,40,1558,CC97
Saitama11,Japan,3,549,1,1,1,1,40,1566,CC1
ERR1197981,Unknown,2,2,2,2,6,3,2,30,CC30
ERR410047,Unknown,2,2,2,2,2,2,2,39,CC30
ERR410050,Unknown,3,3,1,1,4,4,3,8,CC8
ERR410059,Unknown,8,2,2,2,6,3,2,34,CC30
ERR410074,Unknown,8,2,2,2,6,3,2,34,CC30
ERR410082,Unknown,1,1,1,1,1,1,1,1,CC1
ERR410106,Unknown,7,6,1,5,8,8,6,22,CC22
ERR211639,Unknown,6,57,45,2,7,58,52,130,
ERR163446,Unknown,14,16,11,2,13,336,14,3121,
SRR445025,Slovenia,3,35,19,2,20,26,39,398,
SRR445026,USA,3,35,19,2,20,26,39,398,
SRR445027,Italy,3,35,19,2,20,26,39,398,
SRR445028,Poland,3,35,19,2,20,26,39,398,
SRR445029,Italy,3,35,19,2,20,26,39,398,
SRR445030,Italy,3,35,19,2,20,26,39,398,
SRR445031,Poland,3,35,19,2,20,26,39,398,
SRR445032,Canada,3,35,19,2,20,26,39,398,
SRR445033,Canada,3,35,19,2,20,26,39,398,
SRR445034,Canada,3,35,19,2,20,26,39,398,
SRR445035,Canada,3,35,19,2,20,26,39,398,
SRR445036,Canada,3,35,19,2,20,26,39,398,
SRR445037,Hungary,3,35,19,2,20,26,39,398,
SRR445038,Hungary,3,35,19,2,20,26,39,398,
SRR445039,China,3,35,19,2,20,26,39,398,
SRR445040,China,3,35,439,2,20,26,39,181,
SRR445041,China,3,35,19,2,20,26,39,398,
SRR445042,China,3,35,19,2,20,26,39,398,
SRR445043,China,3,35,19,2,20,26,39,398,
SRR445045,Denmark,3,35,19,2,20,26,39,398,
SRR445053,Denmark,3,35,19,2,20,26,39,398,
SRR445057,Denmark,3,35,19,2,20,26,39,398,
SRR445060,France,3,35,19,2,20,26,39,398,
SRR445066,France,3,35,19,2,20,26,39,398,
SRR445071,Peru,3,35,19,2,20,26,39,398,
SRR445072,Denmark,3,35,19,2,20,26,39,398,
SRR445073,Denmark,3,35,19,2,20,26,39,398,
SRR445074,Denmark,3,35,19,2,20,26,39,398,
SRR445075,Denmark,3,35,19,2,20,26,39,398,
SRR445076,China,3,35,19,2,20,26,39,398,
SRR445077,Guyana,3,35,19,2,20,26,39,398,
SRR445078,France,3,35,19,2,20,26,39,398,
SRR445079,France,3,35,19,2,20,26,39,398,
SRR445080,France,3,35,19,2,20,26,39,398,
SRR445081,France,3,35,19,2,20,26,39,398,
SRR445082,France,3,35,19,2,20,26,39,398,
SRR445083,France,3,35,19,2,20,26,39,398,
SRR445084,France,3,35,19,2,20,26,39,398,
SRR445085,France,3,35,19,2,20,26,39,398,
SRR445086,France,3,35,19,2,20,26,39,398,
SRR445228,USA,3,35,19,2,20,26,39,398,
SRR445229,Denmark,3,35,19,2,20,26,39,398,
SRR445230,Spain,3,35,19,2,20,26,39,398,
SRR445231,Portugal,3,35,19,2,20,26,39,398,
SRR445232,Italy,3,35,19,2,20,26,39,398,
SRR445233,Poland,3,35,19,2,20,26,39,398,
SRR445234,Denmark,3,484,19,2,20,26,39,183,
SRR445235,USA,3,35,19,2,20,26,39,398,
SRR445236,Denmark,3,35,19,2,20,26,39,398,
SRR445237,Denmark,3,35,19,2,20,26,39,398,
SRR445238,USA,3,35,19,2,20,26,39,398,
SRR445239,Italy,3,35,19,2,20,26,39,398,
SRR445240,Denmark,3,35,19,2,386,26,39,184,
SRR445241,USA,3,485,19,2,20,26,39,185,
SRR445242,USA,3,35,19,60,20,26,39,541,
SRR445262,USA,3,35,19,2,20,26,39,398,
SRR445263,USA,3,35,19,2,20,26,39,398,
SRR445264,China,3,35,19,2,20,26,39,398,
SRR445265,USA,3,35,19,2,20,26,39,398,
SRR445266,USA,3,35,19,2,20,26,39,398,
SRR445267,USA,3,35,19,2,20,26,39,398,
